id , phrase
195  , CREATURES FROM OUTER SPACE
196  , CREEPY CREATURES
197  , CREEPY MUMMY
198  , CRONUS
199  , CRUISE DIRECTOR JULIE MCCOY
200  , CUPID
201  , CUPID THE GOD OF LOVE
202  , CURIOUS GEORGE
203  , CYCLOPS
204  , CYLON NUMBER SIX
205  , DADDY WARBUCKS
206  , DAFFY DUCK
207  , DAGGER
208  , DAME EDNA EVERAGE
209  , DAMSEL IN DISTRESS
210  , DANCING GOBLINS
211  , DANIEL PLAINVIEW
212  , DAREDEVIL
213  , DAREDEVIL VILLAIN BULLSEYE
214  , DAREDEVIL VILLIAN BULLSEYE
215  , DARIA MORGENDORFFER
216  , DARKWING DUCK
217  , DARRELL CARTRIP
218  , DARTH VADER
219  , DARTH VADER & LUKE SKYWALKER
220  , DASHER & DANCER
221  , DASHER DANCER PRANCER AND VIXEN
222  , DEITIES
223  , DEMETER & CERES
224  , DEMETER & PERSEPHONE
225  , DEMETER THE GODDESS OF HARVEST
226  , DEMETER THE GODDESS OF THE HARVEST
227  , DENNIS THE MENACE
228  , DENNIS THE MENACE & MR WILSON
229  , DETECTIVE ISAAC BELL
230  , DEVILISH IMPS
231  , DIANA & APOLLO
232  , DIANE FARROW
233  , DICK TRACY
234  , DIGITAL PETS
235  , DIMINUTIVE DYNAMO WASP
236  , DIRTY HARRY
237  , DIRTY HARRY CALLAHAN
238  , DIVA PLAVALAGUNA
239  , DOCTOR DOLITTLE
240  , DOCTOR DOOM
241  , DOCTOR FRANKENSTEIN
242  , DOCTOR OCTOPUS
243  , DOCTOR WHO
244  , DODGE CHALLENGER
245  , DON DRAPER
246  , DON QUIXOTE AND SANCHO PANZA
247  , DONALD & DAISY DUCK
248  , DONALD DUCK
249  , DONNER & BLITZEN
250  , DOOMSDAY & GENERAL ZOD
251  , DORMAMMU
252  , DOROTHY AND TOTO
253  , DOROTHY FROM THE WONDERFUL WIZARD OF OZ
254  , DOROTHY GALE
255  , DORY & NEMO
256  , DR MCCOY AND UHURA
257  , DR BRUCE BANNER
258  , DR DOLITTLE
259  , DR FRANKENSTEIN
260  , DR FRANKENSTEIN'S ASSISTANT IGOR
261  , DR JEKYLL AND MR HYDE
262  , DR MCCOY & UHURA
263  , DR NO
264  , DR SIVANA
265  , DRACULA
266  , DRAGONS & KNIGHTS
267  , DREAMERS & DOERS
268  , DREAMERS AND DOERS
269  , DUMBO THE ELEPHANT
270  , DWARVES GOBLINS & GNOMES
271  , DYNAMIC DUO
272  , EASTER BUNNY
273  , EBENEZER SCROOGE
274  , ECHO & HERA
275  , ECHO & NARCISSUS
276  , ED & TRIXIE NORTON
277  , EDWARD SCISSORHANDS
278  , EEYORE & PIGLET
279  , ELINOR DASHWOOD
280  , ELIZA THORNBERRY
281  , ELLEN RIPELY
282  , ELLEN RIPLEY
283  , ELLIS BOYD REDDING
284  , ELMER FUDD
285  , ELVES & DWARVES
286  , ELVES & FAIRIES
287  , ELVES & GNOMES
288  , ENCHANTED PRINCESS
289  , ENCHANTRESS
290  , ENERGIZER BUNNY
291  , ERIC CARTMAN
292  , EROS & CUPID
293  , EROS & PSYCHE
294  , EROS AND PSYCHE
295  , EROS GOD OF LOVE
296  , ETHAN HUNT
297  , EVIL JESTER
298  , EVIL KING
299  , EVIL QUEEN
300  , EVIL TROLLS
301  , FAIRIES & ELVES
302  , FAIRY DUST BUNNIES
303  , FAIRY GODMOTHER
304  , FAIRY-TALE PRINCESS
305  , FANTASTIC CREATURE
306  , FANTASTIC MR FOX
307  , FAT ALBERT
308  , FATHER CHRISTMAS
309  , FATHER TIME
310  , FELIX THE CAT
311  , FERRIS BUELLER
312  , FICTIONAL CHARACTER
313  , FICTIONAL CREATURE
314  , FIGURE COMPETITION
315  , FIRE BREATHING DRAGON
316  , FIRE-BREATHING DRAGON
317  , FIRE-BREATHING DRAGONS
318  , FIRE-BREATHING THREE-HEADED DRAGON
319  , FLASH THOMPSON
