id , phrase
167 , DUBLIN CASTLE
168 , DUKE OF WELLINGTON MONUMENT
169 , DUNLAWTON PLANTATION AND SUGAR MILL
170 , EDINBURGH CASTLE
171 , EDWARDS AIR FORCE BASE
172 , EGG ROCK LIGHT STATION
173 , EGYPTIAN GEOLOGY MUSEUM
174 , EGYPTIAN PYRAMIDS
175 , EGYPTIAN TEXTILE MUSEUM
176 , EIFFEL TOWER
177 , ELIZABETH TOWER
178 , ELLIS ISLAND
179 , EMERALD BUDDHA
180 , EMPEROR'S CANAL
181 , EMPIRE STATE BUILDING
182 , EMPORER'S CANAL
183 , ETHNOLOGICAL MUSEUM
184 , EUROVEA
185 , EVERGLADES NATIONAL PARK
186 , FENWAY PARK
187 , FISK UNIVERSITY
188 , FLAMING GORGE NATIONAL RECREATION AREA
189 , FLAVIAN AMPHITHEATER
190 , FLORENCE'S DUOMO
191 , FLORIDA REEF
192 , FLORIDA STATE CAPITOL
193 , FLOWER DOME
194 , FOLSOM STREET
195 , FORBIDDEN CITY IN BEIJING
196 , FORD'S THEATRE
197 , FORT BRAGG
198 , FORT DENISON
199 , FORT FUNSTON
200 , FORT KENT STATE HISTORIC SITE
201 , FORT NASHBOROUGH
202 , FORT OF BABYLON
203 , FORT POINT LIGHTHOUSE
204 , FORT SUMTER IN SOUTH CAROLINA
205 , FORT WILLIAMS PARK
206 , FOSSIL BUTTE NATIONAL MONUMENT
207 , FOUR CORNERS MONUMENT
208 , FRANKLIN SQUARE
209 , GALLERIA BORGHESE
210 , GARDEN OF THE GODS
211 , GATES OF THE ARCTIC NATIONAL PARK
212 , GATEWAY ARCH IN ST LOUIS
213 , GATEWAY BRIDGE
214 , GELLERT BATHS
215 , GEORGETOWN UNIVERSITY
216 , GERSHWIN THEATER
217 , GERSHWIN THEATRE
218 , GETTYSBURG BATTLEFIELD
219 , GILLETTE CASTLE
220 , GILLIAM COUNTY HISTORICAL MUESEUM
221 , GILLIAM COUNTY HISTORICAL MUSEUM
222 , GLACIER BAY NATIONAL PARK
223 , GLACIER BAY NATIONAL PARK AND PRESERVE
224 , GLACIER NATIONAL PARK
225 , GLADSTONE'S LAND
226 , GOLDEN GATE BRIDGE
227 , GONGQING FOREST PARK
228 , GOODMAN
229 , GOODSPEED OPERA HOUSE
230 , GOVERNMENT HOUSE
231 , GRACELAND IN MEMPHIS TENNESSEE
232 , GRAND CANAL
233 , GRAND CANYON NATIONAL PARK
234 , GRAND CANYON RAILWAY
235 , GRAND CANYON TAVERNS
236 , GRAND CENTRAL STATION
237 , GRAND HALL OF THE GREAT SAGE
238 , GRAND MAKET ROSSIYA
239 , GRAND PACIFIC HOTEL
240 , GRAND PRISMATIC SPRING
241 , GRAND TETON NATIONAL PARK
242 , GRANDFATHER MOUNTAIN
243 , GRANDPA ROCK
244 , GRANITE HOT SPRINGS
245 , GRANTS PASS
246 , GRASSLANDS NATIONAL PARK
247 , GREAT AMERICAN BALL PARK
248 , GREAT BARRIER REEF
249 , GREAT BASIN NATIONAL PARK
250 , GREAT PYRAMID OF GIZA
251 , GREAT SALT LAKE
252 , GREAT SAND DUNES NATIONAL PARK
253 , GREAT SAND DUNES NATIONAL PARK AND PRESERVE
254 , GREAT SMOKY MOUNTAINS
255 , GREAT WALL OF CHINA
256 , GREEN MOUNTAIN TRAIL
257 , GREEN MOUNTAINS
258 , GREYSTONE MANOR
259 , GRIFFITH OBSERVATORY
260 , HALFWAY ROCK LIGHTHOUSE
261 , HALL OF MIRRORS
262 , HAMILTON POOL
263 , HANCOCK OVERLOOK
264 , HANGING ROCK IN AUSTRALIA
265 , HARD ROCK CAFE
266 , HARDWOOD TREE
