id , phrase
171 , THE BRADY BUNCH
172 , THE CAROL BURNETT SHOW
173 , THE COLBERT REPORT
174 , THE COSBY SHOW
175 , THE DONNA REED SHOW
176 , THE DUKES OF HAZZARD
177 , THE FACTS OF LIFE
178 , THE FIRST PRIME TIME ANIMATED SERIES
179 , THE FLINTSTONES
180 , THE FLYING NUN
181 , THE GOLDEN GIRLS
182 , THE GONG SHOW
183 , THE HONEYMOONERS
184 , THE JAMIE FOXX SHOW
185 , THE JEFFERSONS
186 , THE JETSONS
187 , THE LOVE BOAT
188 , THE LUCY SHOW
189 , THE MAN FROM UNCLE
190 , THE MARY TYLER MOORE SHOW
191 , THE MONKEES
192 , THE MUNSTERS
193 , THE MUPPET SHOW
194 , THE ODD COUPLE
195 , THE PARTRIDGE FAMILY
196 , THE PERILS OF PENELOPE PITSTOP
197 , THE REAL GHOSTBUSTERS
198 , THE ROCKFORD FILES
199 , THE SONNY AND CHER COMEDY HOUR
200 , THE SUNSHINE STATE
201 , THE THREE STOOGES
202 , THE WALTONS
203 , THE WILD WILD WEST
204 , THE WONDER YEARS
205 , THE WONDERFUL WORLD OF DISNEY
206 , THE YOUNGEST ONE IN CURLS
207 , THEIR HOUSE IS A MUSEUM
208 , THIS IS YOUR LIFE
209 , THREE'S COMPANY
210 , TONY RANDALL AS FELIX UNGER
211 , TRAPPER JOHN MD
212 , VICKI LAWRENCE STARS IN MAMA'S FAMILY
213 , VIVIAN VANCE AS ETHEL MERTZ
214 , WAGON TRAIN
215 , WELCOME TO FANTASY ISLAND
216 , WHERE EVERYBODY KNOWS YOUR NAME
217 , WHO'S THE BOSS?
218 , YOU BET YOUR LIFE HOSTED BY GROUCHO MARX
219 , YOUR SHOW OF SHOWS
